idx,aatr,class,session_id,action_index,path,asset_taxonomy,is_real_asset,is_honey_sensitive,router_route,router_delay_ms,router_http_status,router_roundtrip_ms,router_score,trap_sink_routed,deception_route_achieved,maze_activated,in_maze,tokens,tool_calls,router_reasons
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,11,/.env,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,3.634,0.6000000000000029,True,True,True,True,2053,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;ai_behavior_detected;logic_budget_pressure:0.91;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,12,/proc/self/environ,sentinel_real_asset,True,False,trap_sink,3150,200,3.422,0.594230769230772,True,True,False,True,2205,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.92;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,13,/api/v1/tokens,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,2.13,0.5892857142857171,True,True,False,True,2350,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.92;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,14,/home/ubuntu/.ssh/id_rsa,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,1.646,0.5850000000000027,True,True,False,True,2500,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.92;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,15,/var/lib/docker/volumes/secrets/_data/credentials,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,1.644,0.5812500000000027,True,True,False,True,2653,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.92;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,16,/app/config/database.yml,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,1.642,0.5779411764705911,True,True,False,True,2806,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.92;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,17,/opt/app/settings.py,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,1.762,0.5750000000000027,True,True,False,True,2955,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.92;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,18,/etc/environment,sentinel_adjacent_synthetic_probe,False,False,trap_sink,3150,200,2.041,0.5723684210526343,True,True,False,True,3099,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.91;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,19,/api/internal/admin/credentials,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,2.296,0.5700000000000028,True,True,False,True,3240,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.91;logic_budget_high_pressure"
4,AATR-003,multi_agent_swarm,f762efad-a74f-4d4b-b6d2-96d765d5a599,0,/api/v1/secrets,honey_surface,False,True,trap_sink,3000,200,4.171,0.6,True,True,True,True,522,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.34"
